Timestamp,Operation,Coin,Price,Momentum,Price Change %,Trading Pair
2024-12-09T01:00:06.997077,BUY,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:07.016652,SELL,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:07.031731,BUY,NEO,11.17,True,4.100652376514441,NEO[USDT]
2024-12-09T01:00:07.048773,SELL,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:07.062028,BUY,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:07.082640,SELL,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:07.095655,BUY,NEO,11.19,True,4.287045666356002,NEO[USDT]
2024-12-09T01:00:07.116133,SELL,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:07.132884,BUY,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:07.151338,SELL,NEO,11.17,True,4.100652376514441,NEO[USDT]
2024-12-09T01:00:07.167045,BUY,NEO,11.14,True,3.821062441752098,NEO[USDT]
2024-12-09T01:00:07.184750,SELL,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:07.200322,BUY,NEO,11.14,True,3.821062441752098,NEO[USDT]
2024-12-09T01:00:07.217941,SELL,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:07.233992,BUY,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:07.253809,SELL,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:07.270535,BUY,NEO,11.11,True,3.541472506989739,NEO[USDT]
2024-12-09T01:00:07.288396,SELL,NEO,11.11,True,3.541472506989739,NEO[USDT]
2024-12-09T01:00:07.304601,BUY,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:07.323535,SELL,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:07.338005,BUY,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:07.357538,SELL,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:07.372628,BUY,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:07.391401,SELL,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:07.407384,BUY,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:07.425016,SELL,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:07.439251,BUY,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:07.457849,SELL,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:07.474512,BUY,NEO,11.17,True,4.100652376514441,NEO[USDT]
2024-12-09T01:00:07.492845,SELL,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:07.508157,BUY,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:07.531326,SELL,NEO,11.16,True,4.00745573159366,NEO[USDT]
2024-12-09T01:00:07.551413,BUY,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:07.569870,SELL,NEO,11.17,True,4.100652376514441,NEO[USDT]
2024-12-09T01:00:07.586733,BUY,NEO,11.17,True,4.100652376514441,NEO[USDT]
2024-12-09T01:00:07.605586,SELL,NEO,11.19,True,4.287045666356002,NEO[USDT]
2024-12-09T01:00:07.621427,BUY,NEO,11.19,True,4.287045666356002,NEO[USDT]
2024-12-09T01:00:07.639232,SELL,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:07.655600,BUY,NEO,11.19,True,4.287045666356002,NEO[USDT]
2024-12-09T01:00:07.674479,SELL,NEO,11.21,True,4.4734389561975805,NEO[USDT]
2024-12-09T01:00:07.688717,BUY,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:07.707379,SELL,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:07.722642,BUY,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:07.740026,SELL,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:07.755732,BUY,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:07.775499,SELL,NEO,11.26,True,4.939422180801485,NEO[USDT]
2024-12-09T01:00:07.790451,BUY,NEO,11.25,True,4.846225535880704,NEO[USDT]
2024-12-09T01:00:07.811605,SELL,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:07.825922,BUY,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:07.847285,SELL,NEO,11.24,True,4.753028890959923,NEO[USDT]
2024-12-09T01:00:07.862990,BUY,NEO,11.24,True,4.753028890959923,NEO[USDT]
2024-12-09T01:00:07.882771,SELL,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:07.899051,BUY,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:07.918770,SELL,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:07.935241,BUY,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:07.953359,SELL,NEO,11.21,True,4.4734389561975805,NEO[USDT]
2024-12-09T01:00:07.968955,BUY,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:07.988224,SELL,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:08.003999,BUY,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:08.021630,SELL,NEO,11.19,True,4.287045666356002,NEO[USDT]
2024-12-09T01:00:08.037571,BUY,NEO,11.19,True,4.287045666356002,NEO[USDT]
